Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Mademoiselle Zazie veut un bébé,Lenain Thierry,Nathan,Lenain,Thierry
Maélo,Noiret Gérard,Le Farfadet bleu,Noiret,Gérard
Magasin de mon père (le),Ichikawa Satomi,Ecole des Loisirs,Ichikawa,Satomi
Magasin zinzin,Clément Frédéric,Albin Michel,Clément,Frédéric
Magicien des couleurs (le),Lobel Arnold,Ecole des loisirs,Lobel,Arnold
Main de la sorcière (la),Utton Peter,Ecole des Loisirs,Utton,Peter
Mains de Papa (les),Jadoul Emile,Ecole des loisirs,Jadoul,Emile
Maintenant que tu sais,Crausaz Anne,MeMo,Crausaz,Anne
Mais il est où ce Gros Matou ?,Delye Pierre,Didier jeunesse,Delye,Pierre
Mais je suis un ours !,Tashlin Frank,Ecole des loisirs,Tashlin,Frank
Mais que lisent-ils ?,Montardre Hélène,Fleurus,Montardre,Hélène
Mais qui a craché sur la maison du hérisson ?,Dedieu Thierry,Saltimbanque,Dedieu,Thierry
Maison (la),Moraes Vinicius de,Rue du monde,Moraes,Vinicius de
Maison dans la nuit (la),Swanson Susan Marie,Le Genevrier,Swanson,Susan Marie
Maison dans les bois (la),Moore Inga,Ecole des loisirs,Moore,Inga
Maison de Couci-couça (la),Elzbieta,Rouergue,Elzbieta,
Maison de Lalla Chama,Taïeb el Alj Ahmed,Marsam,Taïeb,el Alj Ahmed
Maison de Madame M. (la),Perrin Clotilde,Seuil,Perrin,Clotilde
Maison des bisous (la),Bielinsky Claudia,Casterman,Bielinsky,Claudia
Maison du poète (la),Joubert Jean,Pluie d'étoiles,Joubert,Jean
Maisons des animaux (les),Ug Philippe,Les Grandes Personnes,Ug,Philippe
Maître de tout (le),Moeyaert Bart,Rouergue,Moeyaert,Bart
Maître des brumes,Ungerer Tomi,Ecole des loisirs,Ungerer,Tomi
Mal élevés,Laugausie Justine de,Seuil jeunesse,Laugausie,Justine de
Malala,Frier Raphaële,Rue du monde,Frier,Raphaële
"Mama miti, la mère des arbres",Nivola Claire,Le Sorbier/Amnesty,Nivola,Claire
Maman,Lalinon Gbado Béatrice,Ruisseaux d'Afrique,Lalinon,Gbado Béatrice
Maman de la maman de mon papa (la),Dorémus Gaëtan,Les fourmis rouges,Dorémus,Gaëtan
Maman Ours,Higgins Ryan T,Albin Michel jeunesse,Higgins,Ryan T
Maman Quichon se fâche,Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Maman Robot,Zidrou,Sarbacane,Zidrou,
"Maman, c'est toi ?",Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Maman-dlo,Godard Alex,Albin Michel,Godard,Alex
Mamie m'a dit que son amie Yvette…,Le Saux Alain,Rivages,Le,Saux Alain
Mamie Marie,Jaffé Laura,Rouergue,Jaffé,Laura
Mamie voyage,Maussion Anne,Pourquoi pas,Maussion,Anne
Mamouchka et le coussin aux nuages,Piquemal Michel,Gallimard jeunesse,Piquemal,Michel
Mam'zelle,Bougeault Pascale,Ecole des Loisirs,Bougeault,Pascale
Mandarine cherche son papa,Carter Noëlle et David,Albin Michel jeunesse,Carter,Noëlle et David
"Mandela, l'Africain multicolore",Serres Alain,Rue du monde,Serres,Alain
Manège de Petit Pierre (le),Piquemal Michel,Albin Michel,Piquemal,Michel
Manège de Petit Pierre (le),Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
"Mange, mon ange !",Schneider Christine,Albin Michel jeunesse,Schneider,Christine
Mangetout et Maigrelet,Boujon Claude,Ecole des Loisirs,Boujon,Claude
Manteau rouge (le),Lechermeier Philippe,Gautier-Languereau,Lechermeier,Philippe
Marcel et Hugo,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marcel et le nuage,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marcel la mauviette,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marcel le champion,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marcel le magicien,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marcel le rêveur,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Marchand de bisous (le),Mélisou Marie,Le Griffon bleu,Mélisou,Marie
Marchand de fessées (le),Gripari Pierre,Grasset,Gripari,Pierre
Marchand de sable n'a plus de sable (le),David François,MØtus,David,François
Marche le monde,Fournier Jacques,Corps puce,Fournier,Jacques
Marche ou rêve,Glondoumé Sika,CCMDE,Glondoumé,Sika
Mare aux aveux (la),Darwiche Jihad,Didier jeunesse,Darwiche,Jihad
Mari de la mante religieuse a disparu (le),Dedieu Thierry,Saltimbanque,Dedieu,Thierry
Mariage de Pucette (le),Barthélémy Mimi,Syros,Barthélémy,Mimi
Mariama,Diallo Mamadou,Syros,Diallo,Mamadou
Marie Desplechin,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Marie-Aude Murail,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Mario Ramos,Cauwe Lucie,Ecole des Loisirs,Cauwe,Lucie
Marlaguette,Colmont Marie,Flammarion,Colmont,Marie
Marmite pleine d'or (la),Le Craver Jean Louis,Didier jeunesse,Le,Craver Jean Louis
"Martin et Rosa, ensemble pour l'égalité",Frier Raphaële,Rue du monde,Frier,Raphaële
Masque (le),Servant Stéphane,Didier jeunesse,Servant,Stéphane
Masque (le),Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Masque de brumes (le),Clément Claude,Milan,Clément,Claude
Masque de la Montagne blanche (le),Roman Ghislaine,Cipango,Roman,Ghislaine
Matelas magique (le),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Mathieu,Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Maths à la petite semaine,Corenblit Rachel,Rouergue,Corenblit,Rachel
Matilda,Dahl Roald,Gallimard,Dahl,Roald
Matisse,Girardet Sylvie,Réunion des musées nationaux,Girardet,Sylvie
Maudit troll !,Grindley Sally,Ecole des loisirs,Grindley,Sally
Maudite soit la guerre,Daeninckx Didier,Rue du monde,Daeninckx,Didier
Mauvais jars (Le),Aimé Marcel,Gallimard,Aimé,Marcel
Mauvais perdants (les),Douzou Olivier,Rouergue,Douzou,Olivier
Max et les maximonstres,Sendak Maurice,Ecole des Loisirs,Sendak,Maurice
Max et les poissons,Adriansen Sophie,Nathan,Adriansen,Sophie
Maximagier,Le saux Alain,Seuil jeunesse,Le,saux Alain
"Mayra, enfant de Bolivie",Collectif,Tapori,Collectif,
Méchant Méchant,Condominas Laurent,Courtes et longues,Condominas,Laurent
"Méchants, des personnages… (les)",Collectif,Cahiers du CRILJ n° 5,Collectif,
Meilleur livre... (le),Rice Hélène,Thierry Magnier,Rice,Hélène
Meilleures histoires de rois et de princesses,Collectif,Flammarion,Collectif,
Mékeskispasse ?,McNeil David,Seuil jeunesse,McNeil,David
Mélange-moi,Watanabe Michio,Hélium,Watanabe,Michio
Méli-Mélo,Barbarou Lucienne,Aldéran édition,Barbarou,Lucienne
Méli-mélo,Perrin Martine,Milan jeunesse,Perrin,Martine
Méli-mélo à la ferme,Perrin Martine,Milan jeunesse,Perrin,Martine
Méli-mélo de mots,Yagoubi Valérie,Seuil jeunesse,Yagoubi,Valérie
Mélodie des tuyaux (la),Ruiz Olivia,Seuil jeunesse,Ruiz,Olivia
Mémé de ma Mémé (la),Carlain Noé,L'élan vert,Carlain,Noé
Même les princesses doivent aller à l'école,Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Même les princesses pètent,Brenman Ilan,P'tit Glénat,Brenman,Ilan
Même pas peur !,Korkos Alain,Bayard,Korkos,Alain
Même pas peur de la Sorcière,Joly Fanny,Pocket jeunesse,Joly,Fanny
Même pas peur du loup,Joly Fanny,Pocket jeunesse,Joly,Fanny
Même pas peur du noir,Joly Fanny,Pocket jeunesse,Joly,Fanny
"Même pas peur, César !",Lloyd Sam,Quatre fleuves,Lloyd,Sam
Memo 657,Robberecht Thierry,Mijade,Robberecht,Thierry
"Menu, menu",Roubaud Jacques,Gallimard,Roubaud,Jacques
Mer bleue,Kalan Robert,Ecole des Loisirs,Kalan,Robert
Mer et lui (la),Lejonc Régis,Rouegue,Lejonc,Régis
Merci,Lévy Didier,Sarbacane,Lévy,Didier
Merci Papa !,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
"Merci, le vent",Manceau Edouard,Milan,Manceau,Edouard
Mercredi,Bertier Anne,MeMo,Bertier,Anne
Merveilleux voyage de Nils Holgerson (le),Lagerlof Selma,Castor poche,Lagerlof,Selma
Mes 10 premiers tableaux,Sellier Marie,Nathan,Sellier,Marie
Mes animaux,Deneux Xavier,Tourbillon,Deneux,Xavier
Mes premières charades,Malineau Jean Hugues,Albin Michel,Malineau,Jean Hugues
Mes souliers rouges,Bernard Cécile,Mouton cerise,Bernard,Cécile
Métamorfoses,Rueda Claudia,Alice jeunesse,Rueda,Claudia
Métamorphoses (les),Ovide,Ecole des Loisirs,Ovide,
Métier de Papa (le),Corenblit Rachel,Rouergue,Corenblit,Rachel
Meunier tu dors,Letuffe Anne,Didier Jeunesse,Letuffe,Anne
M'hand le chacal,Aït Ahmed Salamia,L'Harmattan,Aït,Ahmed Salamia
Miam les amis,Joly Fanny,Hachette,Joly,Fanny
"Miam, drôle de recettes",Ebohéa Marie Félécité,Mouton cerise,Ebohéa,Marie Félécité
"Micelle, le ver de terre allergique",Lilienthal Henri,GAEL,Lilienthal,Henri
"Michel, le mouton qui n'avait pas de chance",Victor Sylvain,Thierry Magnier,Victor,Sylvain
Migrants,Watanabe Issa,La joie de lire,Watanabe,Issa
Mille ans de contes (Classique),Collectif,Milan,Collectif,
Mille ans de contes (Mer),Collectif,Milan,Collectif,
Mille ans de frissons,Collectif,Milan Jeunesse,Collectif,
Mille milliards de pirates,Moncomble Gérard,Milan,Moncomble,Gérard
Mille secrets de poussins,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Milléclat dorée (la),Flouw Benjamin,La Pastèque,Flouw,Benjamin
Mille-pattes (le),Gourounas Jean,Rouergue,Gourounas,Jean
Mimi commande,Nicolas Christophe,Les fourmis rouges,Nicolas,Christophe
Mineur et le boulanger (le),Diallo Muriel,Vents d'ailleurs,Diallo,Muriel
Mini encyclopédie des contraires,Barman Adrienne,La joie de lire,Barman,Adrienne
Mini encyclopédie des émotions,Barman Adrienne,La joie de lire,Barman,Adrienne
Mini-contes pour enfants pointus,Joubert Jean,Pluie d'étoiles,Joubert,Jean
Mini-guide pour mini-lecteurs,ARPLE,,ARPLE,
Minuscules (les),Dahl Roald,Gallimard jeunesse,Dahl,Roald
Minute papillon,Doremus Gaëtan,Rouergue,Doremus,Gaëtan
Miroir de l'eau (le),Leduc Daniel,Ecole des Loisirs,Leduc,Daniel
Miss Carabis Carabosse soldat,Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
Miss Cocotte,Piquemal Michel,De La Martinière jeunesse,Piquemal,Michel
"Missak, l'enfant de l'Affiche rouge",Daeninckx Didier,Rue du Monde,Daeninckx,Didier
Mister Black,Pang Miguel,Les fourmis rouges,Pang,Miguel
Misto tiempo,Douzou Olivier,Rouergue,Douzou,Olivier
"Mitsu, unjour parfait",Rutten Mélanie,MeMo,Rutten,Mélanie
Mô et le Maître du temps,Sellier Marie,Picquier jeunesse,Sellier,Marie
Moi devant,Brun Cosme Nadine,Flammarion,Brun,Cosme Nadine
Moi Dieu Merci qui vis ici,Lenain Thierry,Albin Michel jeunesse,Lenain,Thierry
Moi et Mon Chat,Kitamura Satochi,Gallimard jeunesse,Kitamura,Satochi
Moi et rien,Crowther Kitty,Ecole des Loisirs,Crowther,Kitty
Moi et toi,Laffon Caroline,La joie de lire,Laffon,Caroline
"Moi Félix, 10 ans, sans papiers",Cantin Marc,Milan,Cantin,Marc
"Moi j'adore, Maman aussi",Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
"Moi je déteste, maman adore!",Brami Elisabeth,Seuil,Brami,Elisabeth
Moi le loup et les chocos,Perret Delphine,Thierry Magnier,Perret,Delphine
"Moi pas, moi aussi",Ramos Mario,Ecole des loisirs,Ramos,Mario
"Moi, Albert, détestateur de livres",Chabbert Ingrid,Frimousse,Chabbert,Ingrid
"Moi, j'adore la pluie !",Bahar Sunar Ozge,Rue du monde,Bahar,Sunar Ozge
"Moi, j'ai peur du loup",Vast Emilie,MeMo,Vast,Emilie
"Moi, j'attendais la pluie",Vernette Véronique,Points de Suspension,Vernette,Véronique
"Moi, j'attends",Cali Davide,Sarbacane,Cali,Davide
"Moi, je boude",Titus,Gautier-Languereau,Titus,
"Moi, je n'ai peur de rien",Rouzé Marina,PEMF,Rouzé,Marina
"Moi, je ne veux plus de bisous !",Monari Manuela,Mango jeunesse,Monari,Manuela
"Moi, ma grand-mère…",Pef,Gallimard jeunesse,Pef,
"Moi, Papa ours ?",Erlbruch Wolf,Milan,Erlbruch,Wolf
Moindres petites choses (les),Herbauts Anne,Casterman,Herbauts,Anne
Moinillon et la Yama Ouba (le),Fauliot Pascal,Mini Syros,Fauliot,Pascal
Moitié de fève (la),Mereu Agata,L'Harmattan,Mereu,Agata
Moka,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Môme aux oiseaux (la),Meunier Henri,Rouergue,Meunier,Henri
Momo,Nadja,Ecole des Loisirs,Nadja,
Mo-Mo,El Fathi Mickaël,MØtus,El,Fathi Mickaël
Mon ami,David François,Pourquoi pas,David,François
Mon ami invisible,Schwarz Annelies,Les 400 coups,Schwarz,Annelies
Mon amour,Alemagna Béatrice,Autrement,Alemagna,Béatrice
Mon arbre,Green Ilya,Didier jeunesse,Green,Ilya
Mon arbre à secrets,Ka Olivier,Les Grandes Personnes,Ka,Olivier
Mon beau soleil,Fortier Natali,Albin Michel jeunesse,Fortier,Natali
Mon bébé croco,Dorémus Gaëtan,Albin Michel jeunesse,Dorémus,Gaëtan
Mon bel oranger,Vasconcelos José Mauro de,France Loisirs,Vasconcelos,José Mauro de
Mon bison,Wisniewski Gaya,MeMo,Wisniewski,Gaya
Mon chagrin,Doray Malika,MeMo,Doray,Malika
Mon chagrin,Doray Malika,MeMo,Doray,Malika
Mon chat le plus bête du monde,Bachelet Gilles,Seuil,Bachelet,Gilles
Mon chien,Dedieu Thierry,Seuil Jeunesse,Dedieu,Thierry
Mon cochon,Blanpain Jean-Pierre,Thierry Magnier,Blanpain,Jean-Pierre
Mon escargot domestique,Simler Isabelle,Courtes et longues,Simler,Isabelle
Mon île,Demasse-Pottier Stéphanie,De la Martinière jeunesse,Demasse-Pottier,Stéphanie
Mon jour de chance,Kasza Keiko,Ecole des Loisirs,Kasza,Keiko
Mon lion,Sadat Mandana,Autrement,Sadat,Mandana
Mon livre pop-up. Le jardin,Wall Fiona,Usborne,Wall,Fiona
Mon miel ma douceur,Piquemal Michel,Didier jeunesse,Piquemal,Michel
Mon papa,Browne Anthony,Ecole des loisirs,Browne,Anthony
Mon papa et moi,Miyamoto Tadao,Mango jeunesse,Miyamoto,Tadao
Mon papa migrateur,Scotto Thomas,Sarbacane,Scotto,Thomas
Mon papa pirate,Cali Davide,Sarbacane,Cali,Davide
Mon papa roulait les R,Legendre Françoise,Sarbacane/Amnesty,Legendre,Françoise
Mon pépé,Chazerand Emilie,Gautier-Languereau,Chazerand,Emilie
Mon petit bestiaire littéraire,Daufresne Michelle,L'art à la page,Daufresne,Michelle
Mon petit papa fait des cauchemars,Delecroix Hanieh,Actes sud junior,Delecroix,Hanieh
Mon petit Picasso,Sellier Marie,Réunion musées nationaux,Sellier,Marie
Mon petit rat,Doray Malika,Ecole des Loisirs,Doray,Malika
"Mon premier tour du monde, l'atlas des 5-8 ans",Silloray,Milan,Silloray,
Mon p'tit vieux,Hoestlandt Jo,Le Baron perché,Hoestlandt,Jo
Mon pull,Poussier Audrey,Ecole des loisirs,Poussier,Audrey
Mon pull panda,Baum Gilles,Kilowatt,Baum,Gilles
Mon tout petit,Zullo Germano,La joie de lire,Zullo,Germano
Monde de Kitty Crowther (le),Cauwe Lucie,Ecole des Loisirs,Cauwe,Lucie
Monde n'est jamais fini (le),Leblanc Catherine,La Renarde rouge,Leblanc,Catherine
Monde sans les enfants (le),Claudel Philippe,Stock,Claudel,Philippe
Monde selon moi (le),Titus,Milan Jeunesse,Titus,
Monsieur Chat !,Wiesner David,Le Genevrier,Wiesner,David
Monsieur p'tit sou,Cannard Edmée,Didier jeunesse,Cannard,Edmée
Monstre (le),Bravi Soledad,Ecole des loisirs,Bravi,Soledad
Monstre des toilettes (le),Pegorier Saralisa,Atelier du poisson soluble,Pegorier,Saralisa
Monstre et le bébé (le),Gay-Para Praline,Didier Jeunesse,Gay-Para,Praline
Monstre ne me mange pas,Norac Carl,Ecole des Loisirs,Norac,Carl
Monstre poilu (le),Bichonnier Henriette,Gallimard,Bichonnier,Henriette
Monstres malades,Houdart Emmanuelle,Thierry Magnier,Houdart,Emmanuelle
Montres molles (les),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Monture du roi-grenouille (la),Ayadi Boubakeur,L'Harmattan,Ayadi,Boubakeur
Morphologie du conte,Propp Vladimir,Seuil,Propp,Vladimir
Mot mot (le),Léger-Cresson Nathalie,Après la lune jeunesse,Léger-Cresson,Nathalie
"Mot, je te vois",Herbreteau Gaston,Soc et Foc,Herbreteau,Gaston
Motamots,Brami Elisabeth,Thierry Magnier,Brami,Elisabeth
Mots des mois (les),Boudet Alain,Donner à voir,Boudet,Alain
"Mots en bouche, mots sur la touche",Collectif,Fond. BNP,Collectif,
Mots ont des visages (les),Guenoun Joël,Autrement jeunesse,Guenoun,Joël
Mots peints (les),Lecaye Emmanuel,Ecole des loisirs,Lecaye,Emmanuel
"Mots perdus, mots retrouvés",Causse Rolande,Actes Sud,Causse,Rolande
Mouche qui lit (la),Siméon Jean Pierre,Rue du Monde,Siméon,Jean Pierre
Mouche qui pète (la),Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Moufle (la),Villiot Bernard,L'élan vert,Villiot,Bernard
Moufle (la),Desnouveaux Florence,Didier jeunesse,Desnouveaux,Florence
Moun,Rascal,Ecole des Loisirs,Rascal,
Mouton farceur (le),Sommerset Mark,Milan,Sommerset,Mark
Mowgli,Kipling Rudyard,Milan,Kipling,Rudyard
M'Toto,Wilsdorf Anne,Ecole des Loisirs,Wilsdorf,Anne
"Mu'allaga, un poème suspendu",Golan Haji,Le port a jauni,Golan,Haji
Musiciens de Brême (les),Grimm Jakob et Wilhelm,Flammarion,Grimm,Jakob et Wilhelm
Musiciens de Brême (les),Grimm Jacob et Wilhelm,Seuil jeunesse,Grimm,Jacob et Wilhelm
Musiciens de la Nouvelle-Brême (les),Delye Pierre,Didier jeunesse,Delye,Pierre
Musiciens de la ville de Brême (les),Grimm Jakob et Wilhelm,Minedition,Grimm,Jakob et Wilhelm
Mystère,Brouillard Anne,Ecole des Loisirs,Brouillard,Anne
Mystère au palais,Roman Ghislaine,Milan poche,Roman,Ghislaine
Mystère de la grande dune (le),Ducos Max,Sarbacane,Ducos,Max
Mystère de Lala Zoba,Kinsa Gabriel,Dapper,Kinsa,Gabriel
Mystérieux délits,Poslaniec Christian,Ecole des Loisirs,Poslaniec,Christian
Nacéo,Pittau Francesco,Les Grandes Personnes,Pittau,Francesco
"Nadine, enfant de Suisse",Collectif,Tapori,Collectif,
Naître au monde et à la culture,Ben Soussan et collectif,ERES,Ben,Soussan et collectif
"Nasr Eddin Hodja, un drôle d'idiot",Maunoury Jean Louis,MØtus,Maunoury,Jean Louis
Nasreddine,Weulersse Odile,Flammarion,Weulersse,Odile
Nasreddine Hodja,Birant Mehmet Ali,AND,Birant,Mehmet Ali
Naviguer dans les marges,Guillbaud Luce,Soc et foc,Guillbaud,Luce
Navratil,Douzou Olivier,Rouergue,Douzou,Olivier
Ne laissez pas le pigeon conduire le bus !,Willems Mo,Ecole des loisirs,Willems,Mo
"Ne m'appelez plus jamais ""mon petit lapin""",Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Neige,Solotareff Grégoire,Ecole des loisirs,Solotareff,Grégoire
"Neige, le blanc et les couleurs",Vast Emilie,MeMo,Vast,Emilie
Nénègle sur la montagne,Charlat Benoît,Ecole des Loisirs,Charlat,Benoît
Neuf couleurs de la peur,Agopian Annie,L'Edune,Agopian,Annie
Neuf reines (les),Hannappe David,Le Trou de nez,Hannappe,David
Neuvième métro (le),Muratet Louis,Ecole des loisirs,Muratet,Louis
New York en pyjamarama,Leblond Michaël,Rouergue,Leblond,Michaël
Ni poupées ni super-héros !,Beauvois Delphine,La ville brûle,Beauvois,Delphine
Nian le terrible,Olive Guillaume,Seuil jeunesse,Olive,Guillaume
Nima et l'ogresse,Bertrand Pierre,Ecole des loisirs,Bertrand,Pierre
Nimbo,Douzou Olivier,MeMo,Douzou,Olivier
Nioui et Ninon,Agopian Annie,Rouergue,Agopian,Annie
Noël,Watt Fiona,Usborne,Watt,Fiona
Noël pour tous !,Guilloppé Antoine,P'tit Glénat,Guilloppé,Antoine
Noir (le),Snicket Lemony,Milan,Snicket,Lemony
Noir sur blanc,Hoban Tana,Ecole des Loisirs,Hoban,Tana
"Noire comme le café, blanc comme la lune",Mandelbaum Pili,Ecole des Loisirs,Mandelbaum,Pili
Non,Rueda Claudia,Rue du monde,Rueda,Claudia
Non (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Non, j'irai pas !",Roman Ghislaine,Frimousse,Roman,Ghislaine
"Non, non et non",Allancé Mireille d',Ecole des Loisirs,Allancé,Mireille d'
Norig et l'or de l'île,Roman Ghislaine,Saltimbanque,Roman,Ghislaine
Nos beaux doudous,Servant Stéphane,Didier jeunesse,Servant,Stéphane
N'oublie pas de te laver les dents !,Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
"Nour, le moment venu",Rutten Mélanie,MeMo,Rutten,Mélanie
Nous avons rendez-vous,Dorléans Marie,Seuil,Dorléans,Marie
Nous avons rendez-vous,Dorléans Marie,Seuil jeunesse,Dorléans,Marie
Nous les hommes !,Voltz Christian,Rouergue,Voltz,Christian
"Nous, ce qu'on préfère…",Doray Malika,Didier jeunesse,Doray,Malika
Nouveau de la classe (le),Duval Isabelle,Actes Sud junior,Duval,Isabelle
Nouvelles à chute,Collectif,Magnard,Collectif,
Nouvelles histoires minute,Friot Bernard,Milan,Friot,Bernard
Nouvelles re-vertes,Collectif,Thierry Magnier,Collectif,
Nsoko l'orphelin,Hellings Colette,Ecole des Loisirs,Hellings,Colette
Nuage (le),Ponti Claude,Ecole des loisirs,Ponti,Claude
Nuage bleu (le),Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Nuit (la),Bone Betty,Actes Sud,Bone,Betty
Nuit de Berk (la),Béziat Julien,Ecole des loisirs,Béziat,Julien
Nuit de la dernière lune (la),Aribaud Jean Luc,Zorba,Aribaud,Jean Luc
Nuit du Mélinos (la),Ben Kemoun Hubert,Flammarion,Ben,Kemoun Hubert
Nuit du visiteur (la),Jacques Benoît,Benoît Jacques Books,Jacques,Benoît
Nuit tous les chats sont verts (la),Péghaire Vincent,Palette,Péghaire,Vincent
"Nuit, on dort (la)",Ashbé Jeanne,Ecole des loisirs,Ashbé,Jeanne
Nuno le petit roi,Ramos Mario,Ecole des Loisirs,Ramos,Mario
Occupé,Maudet Mathieu,Ecole des loisirs,Maudet,Mathieu
Oceano,Boisrobert Anouck,Hélium,Boisrobert,Anouck
Ocre,Beaude PM. et Arrou-Vignod JP,Gallimard,Beaude,PM. et Arrou-Vignod JP
Ode à un oignon,Sala Felicita,Cambourakis,Sala,Felicita
Odile ?,Dorléans Marie,Seuil,Dorléans,Marie
Œdipe l'enfant trouvé,Pommaux Yvan,Ecole des loisirs,Pommaux,Yvan
Œil pour œil,Bianco-Levin Nicolas,Atelier du poisson soluble,Bianco-Levin,Nicolas
Ogre (l'),Ressouni Demigneux Karim,Rue du monde,Ressouni,Demigneux Karim
Ogre Babborco (l'),Bloch Muriel,Didier Jeunesse,Bloch,Muriel
Ogre et la chèvre (l'),Fondation Zakoura,Yanbow al Kitab,Fondation,Zakoura
Ogre gentleman (l'),Gay-Para Praline,Syros,Gay-Para,Praline
Ogre gentleman (l'),Gay-Para Praline,Syros,Gay-Para,Praline
Ogre qui avait peur des enfants (l'),Delval Marie Hélène,Bayard,Delval,Marie Hélène
"Ogre, le loup, la petite fille et le gâteau (l')",Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
"Ogre, le loup, la petite fille et le gâteau (l')",Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Ogresse en pleurs (l'),Dayre Valérie,Milan,Dayre,Valérie
Ogresse et les sept chevreaux (l'),Gay-Para Praline,Didier jeunesse,Gay-Para,Praline
Ogrionne (l'),Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
Oh !,Servant Stéphane,Points de suspension,Servant,Stéphane
Oh !,Goffin Josse,Réunion des Musées Nationaux,Goffin,Josse
Oh ! La belle lune !,Battut Eric,Encore une fois,Battut,Eric
Oh ! La vache,Louchard Antonin,Thierry Magnier,Louchard,Antonin
"Oh non, George !",Haughton Chris,Thierry Magnier,Haughton,Chris
Oiseau bleu (l'),Cendrars Blaise,Rue du Monde,Cendrars,Blaise
Oiseau de feu (l'),Stravinsky Igor,Amaterra,Stravinsky,Igor
Oiseau de Mona (l'),Poirot-Cherif Sandra,Rue du monde,Poirot-Cherif,Sandra
Oiseau de nulle part (l'),Gabriel Pierre,Le Farfadet bleu,Gabriel,Pierre
Oiseau de pluie (l'),Bermond Monique,Flammarion,Bermond,Monique
Oiseau et la pièce d'or (l'),Vincent François,Didier jeunesse,Vincent,François
Oiseau-livre (l'),Brami Elisabeth,Casterman,Brami,Elisabeth
Oiseaux (les),Zullo Germano,La joie de lire,Zullo,Germano
Oiseaux (les),Roux Julien,Les fourmis rouges,Roux,Julien
"Oiseaux ont des ailes, les enfants... (les)",Serres Alain,Rue du monde,Serres,Alain
Oizochat (l'),Courgeon Rémi,Mango jeunesse,Courgeon,Rémi
Okilélé,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Olive et Léandre,Cousseau Alex,Les Fourmis Rouges,Cousseau,Alex
Olivia,Falconer Ian,Seuil jeunesse,Falconer,Ian
Ollie,Dunrea Olivier,Ecole des Loisirs,Dunrea,Olivier
Omelette au sucre (l'),Arrou-Vignod Jean Philippe,France Loisirs,Arrou-Vignod,Jean Philippe
"Omotou, guerrier masaï",Piquemal Michel,L'élan vert,Piquemal,Michel
On a volé le Nkoro-Nkoro,Jonquet Thierry,Syros,Jonquet,Thierry
On a volé mon vélo,Simard Eric,Syros,Simard,Eric
On déménage !,Brière Haquet Alice,Little Urban,Brière,Haquet Alice
On dit,Séguy Fabienne,Poisson soluble,Séguy,Fabienne
On lit trop dans ce pays,Picouly Daniel,Rue du monde,Picouly,Daniel
On me cache quelque chose,Florian Mélanie,Alice,Florian,Mélanie
On ne lit pas tout seul,Rayna S Baudelot O,ERES,Rayna,S Baudelot O
On ne peut pas,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
On n'est pas si différents,Cantais Claire,La ville brûle,Cantais,Claire
On peut se tromper,Norge,Rue du Monde,Norge,
On se cache ?,Denolle Christel,Nathan,Denolle,Christel
On se retrouvera,Bunting E.,Syros/Amnesty,Bunting,E.
Oncle éléphant,Lobel Arnold,Ecole des Loisirs,Lobel,Arnold
Onomatopée (l'),Chedid Andrée,Rue du Monde,Chedid,Andrée
Opération farceuses,Doyle Roddy,Gallimard jeunesse,Doyle,Roddy
Orchestre recyclé (l'),Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
Oreiller aux oiseaux (l'),Mélisou Marie,Le Griffon bleu,Mélisou,Marie
Oscar fait un vœu,Pizzoli Greg,Ricochet,Pizzoli,Greg
