Livres,No Copies
Promenade au bord de l'eau,2
Promenade de Petit Bonhomme (la),41
Promenade des canards (la),2
Promenade en forêt (Yok-Yok),30
Promesse de l'ogre (la),18
Promesses,42
Prout de pompier,17
Provision de bisous de Zou (la),44
Psychanalyse des contes de fées,43
P'tit Biscuit,26
P'tit bonhomme des bois (le),5
P'tit bossu qui en avait plein l'dos (le),46
P'tit Quinquin (le),41
P'tites bêtes (les),26
P'tits mecs (les),34
Purée de cochons,41
Quand je ne savais pas écrire,26
Quand je serai grand,33
"Quand je serai grand, je serai le Père Noël",32
Quand je serai grand…,25
Quand j'étais petit,2
Quand le monde était jeune,48
Quand les grands se fâchent,28
Quand les livres relient,32
Quand les poètes s'amusent,22
Quand les poules auront des dents,34
Quand Maman avait mon âge,28
Quand nous aurons mangé la planète,23
Quand Papa avait mon âge,8
Quand tu es content...,48
Qu'apporte la littérature de jeunesse aux enfants ?,21
Quatre coqs coquets,10
Quatre histoires du Petit Chaperon rouge,14
Quatre loups (les),6
Quatre petits coins de rien du tout,44
Quatrième fille du Dr Klein (la),5
Que fais-tu Fantine ?,22
Que fait la lune la nuit,7
Que faites-vous avec ça ?,49
"Que faites-vous, cher ami ?",46
Que vois-tu ?,48
Quel bazar !,50
Quel cafouillage !,16
"Quel radis, dis donc !",33
Quelle est ma couleur ?,1
Quelle fête !,47
"Quelle heure est-il, madame Persil ?",17
Quelle panique!,43
Quelles couleurs !,1
Quelque chose de plus terrible encore,14
Questions de Célestine (les),17
Qui a croqué mon goûter ?,32
Qui a fouillé chez les Wisigoths ?,13
Qui a mangé ?,28
Qui a mangé la petite bête ?,23
Qui a piqué les contrôles de Français ?,19
Qui a tué Minou-Bonbon ?,16
Qui a volé ma fusée ?,26
Qui a vu Mister Cat ?,40
"Qui de l'œuf, qui du poussin ?",43
Qui est-ce qui ?,35
"Qui es-tu, que fais-tu ?",27
Qui lit petit lit toute la vie,24
Qui ou quoi ?,33
Qui peut manger tout ça ?,12
Qui quoi quoi qui,32
Qui se cache là-dessous ?,42
Qui se cache sous les fleurs ?,34
Qui suis-je ?,16
Qui veut le cœur d'Artie Show ?,27
Qui voilà ?,7
"Qui, que, quand, quoi la poésie",28
Qu'y a-t-il dedans ?,26
"Rafara, un conte populaire africain",30
Ranelot et Bufolet,18
Raoul la Terreur,24
Raoul Taffin chasseur de mammouth,45
Rap des rats (le),27
"Raphaël, un enfant de France",29
Rat célibataire (le),3
Rat célibataire (le),45
Ratoncita que buscaba un marido (la),10
Raymond Queneau,30
Raymond rêve,42
Rébellion chez les crayons,1
Récits fabuleux de la mythologie,40
Rédaction (la),10
Réfrigogérateur (le),44
Refuge (le),39
Regarde !,24
Regarde dans la nuit,19
Regarde dans l'herbe,7
"Regarde, je vole !",1
Réglisse et Calisson,45
Reine des couleurs (la),8
Remarques,3
Remue-ménage chez Madame K,39
Renard et l'étoile (le),13
Rencontre (la),50
Rendez-moi mes poux !,35
Rendez-vous n'importe où,45
Rendez-vous sous la lune,45
Rends-moi mon nez !,49
René Char (le),1
Rentrée de la petite sorcière (la),42
Répétou (le),44
Réponds correctement !,12
Retour d'Archibald (le),31
Retour de Chapeau Rond Rouge (le),46
Retour de Papy Frioul (le),33
Revanche de Lili Prune (la),7
Rêve de Léon (le),38
Rêve de l'ours (le),9
Rêve de lune,12
Rêve d'Oscar (le),18
Réveillés les premiers !,37
Reviens !,20
Rien faire,14
Rimbaud : Choix de poèmes,32
Riquet à la loupe,25
Rire des baleines (le),30
Rire en poésie (Le),32
Robe rouge de Nonna (la),29
"Robert Desnos, un poète",29
Robots n'aiment pas l'eau (les),1
Rock star,39
Rodéo à Ascou,8
Roi Cheval (le),10
Roi de la Grande Savane (le),14
Roi des sables (le),48
Roi des trois Orients (Le),11
Roi du silence (le),11
Roi est occupé (le),34
"Roi, la poule et la terrible Mademoiselle Chardon (le)",18
Roi-grenouille ou Henri-le-Ferré (le),47
Roméo et Juliette,16
Roméo et Juliette,41
Rond rouge,13
Rondeaux,17
Ronds ronds,14
Rose bonbon,35
Rose cochon,20
Rosie Pink,32
Rouge !,45
Rouge da ns la ville,36
Rouge jaune noire blanche,47
Rouge Matou,42
Rouge-Gorge,25
Rouges et les noirs (les),30
Roulé le loup !,29
Roule ma poule,47
Roule ma poule,48
"Roulis, rouleaux",19
Route 66,34
Royaume de minuit (le),7
Ruban (le),45
Ruby tête haute,10
Rue qui ne se traverse pas (la),39
Rufus,25
Sa majesté la maîtresse,29
Sables émouvants,50
Sacrées sorcières,13
Sages Apalants (les),2
"Sagesses et malices de Nasreddine, le fou qui était sage",49
Saisons,36
Saisons d'Issa,10
Sale gamin,28
"Sale gosse, ou l'incroyable histoire…",25
Salem et le sorcier,16
Salut,36
Sandwich de mammouth (le),17
"Sanji, le voleur d'odeurs",47
Sann,36
Sans début ni fin,1
Sans frontières fixes,19
Sans le A,30
Sans titre,6
Santa Fruta,21
Sara et le clown,11
Sassou,27
Saucisse de Cornichou (la),23
Saumone,50
Saute,5
Sauvage,49
Sauve qui poule,27
"Sauve-toi, Elie",3
Scènes de crime,31
Schmat doudou (le),10
Science en poésie (la),48
Scritch scratch dip clapote,11
Secret (le),45
Secret (le),29
Secret de Kasimo (le),42
Secret du chat (le),37
Secret du Rocher Noir (le),48
Seize nouvelles,35
Sept chansons pour le hérisson (comptines),27
Sept histoires de souris,4
Sequoyah,35
Serpent de neige (le),1
Seul ensemble,27
Si la lune pouvait parler,31
Si le loup y était,8
Si tous les éléphants s'appelaient Bertrand,46
Si un jour,6
Silence complice,22
Silencio,10
Sin le veilleur,40
Sindbad le marin,13
Singe (le),33
Singe et le crocodile (le),26
Six milliards de visages,13
Sixième (la),7
Slip du cauchemar (le),13
Socrate,34
Soir de rage,23
Soleil oiseleur (le),17
Sophie la vache musicienne,27
Sorcier du fleuve (le),9
Sorcière Camomille à Paris (la),13
Sorcière de la rue Mouffetard (la),2
Sorcière qui rapetissait les enfants (la),14
SOS petit peureux,22
Soupe à la souris (la),36
Soupe au caillou (la),9
Soupe au caillou (la),40
Soupe aux cailloux (la),2
Sourate du taureau (la) ?,28
Source miraculeuse (la),32
Sourire de la montagne (le),29
Souris et le voleur (la),45
Souris qui cherchait un mari (la),24
Souris qui cherchait un mari (la),43
Souris qui cherche un ami (la),38
Souris qui sauva toute une montagne (la),18
Souris-moi !,12
Sous la lune poussent les haïkus,47
Sous le grand banian,50
Sous le toit de mes doigts,40
Sous un pyjama de lapin,14
Sous-marin de papier (le),31
Souvenirs de Paris,40
"Ssi j'te mords, t'es mort",35
Stylo à cancre (le),15
Suis-je… un chat ?,4
Suis-je… un escargot ?,33
Suis-je… une grenouille ?,45
Suis-je… une souris ?,32
S'unir c'est se mélanger,13
"S'unir, c'est se relayer !",46
Super 8,22
Super beige,44
Super Cagoule,18
Super loup,22
Super Niño,16
Super Papa,17
Super super gloupi,7
Superlapin,41
Sur le chantier,25
Sur le chemin,1
Sur le lit,49
"Sur le nez du chiot, une sauterelle…",42
Sur les genoux de maman,6
Sur les traces de Maman,23
Sur l'île des Zertes,38
Sur mon fil,47
"Sur un toit, un chat",35
Surprise (la),33
Surprise (la),25
Susie Morgenstern,23
Suzanne préfère le rouge,9
Suzie est la seule,44
Sylvain de Sylvanie,13
Ta Lou qui t'aime,49
Tableaux de Marcel (les),2
Taches du léopard (les),46
Takam Tikou,9
Tandem,20
Tangapico,46
Tani,38
Tante Amélie,30
Tardieu (le),2
T'as de beaux yeux !,36
Tas de riz tas de rats,29
Taupe (la),50
Taureau bleu (le),6
Taxi-brousse de Papa Diop (le),49
Teckel,21
Téléfon (le),45
Tempête (la),19
Terrible,42
Terriblement vert !,37
T'es fleur ou t'es chou ?,42
Tête à claques,27
Tête dans les étoiles (la),30
Tête dans les nuages (la),36
Tête dans les nuages (la),6
Tétine de Nina (la),19
Thésée,47
Thésée et le fil d'Ariane,2
Ti lapin le magicien,50
Ti Poucet,19
Tibert et Romuald,16
Ti-Cheval,3
Tico et les ailes d'or,37
Tiens !,7
Tigre qui s'invita pour le thé (le),40
Tihtiyas et Jean,29
Till l'espiègle et les tricheurs,18
Titi à Paris,11
Toc ! Toc ! Qui est là ?,16
"Toc, toc, Monsieur Croc !",36
"Toi grand, moi petit",19
Tomaso et les trois ogresses,1
Tomi Ungerer,24
Ton cauchemar,32
Ton histoire,26
Ton porc te ment tôt,29
Tonino l'invisible,23
Tony Tiny Boy,38
Top Model,26
Totale angoisse,44
Totoche,4
Toujours rien ?,47
Tour (la),42
Tour de France multicolore des contes,5
Tour de terre en poésie,50
Tour des vents (la),34
Tour du monde des contes (le),33
Tournée du Facteur Souris (la),35
Tourterelle de Youssef Yousfine (la),44
Tous les monstres ont peur du noir,42
Tous les petits,21
Tous pressés,25
Tous sauf un,13
Tous ses petits canards,22
Tout au fond,26
Tout ce qu'il faut savoir sur les méchants,14
Tout change,5
Tout doux,42
Tout d'un loup,7
Tout en haut,7
Tout est calme,49
Tout neuf !,16
Tout petit (le),23
Tout petit os (le),38
Tout petit très grand,50
Tout petit tu lis,13
Tout petit tu lis N°6,20
Tout pour ma pomme,4
Tout un monde,3
Tout un tas de loups,9
Tout va très bien madame la Marquise,38
Toute la lumière sur l'obscurité,13
Toute petite bonne femme (la),9
"Toute petite, petite bonne femme (la)",44
Toutes les couleurs,21
Toutes sortes de formes,11
Toutou dit tout,43
Tout-petits et les livres (les),49
"Tout-petits, le monde et les albums (les)",32
Tracas de Blaise (le),1
Train jaune (le),38
Trémolo,3
Trente Haïkus rouges ou bleus,36
Très petite Zébuline (la),35
"Très, très fort !",9
Trésors surprises,2
Tresse ou le voyage de Lalita (la),23
Triomphe du zéro (le),45
Tristan et Iseult,2
Trognon à l'école de la chair de trouille,28
Trois boucs (les),32
Trois brigands (les),32
Trois chats,50
Trois cochons (les),17
Trois contes de frissons,42
Trois courageux petits gorilles,36
Trois histoires folles de Monsieur Pol,15
Trois jours en plus,48
Trois loups (les),45
Trois ours (les),14
Trois petits brins d'herbe,4
Trois petits cochons (les),15
Trois petits morceaux de nuit,12
Trois petits pois,10
Trois petits pourceaux (les),48
Trois plumes (les),28
Trois questions (les),13
Trois sorcières,26
Trois vaillants petits déchets (les),11
Trou (le),25
Truc de fille ou truc de garçon ?,50
Tsin-Line,18
Tu fais quoi ?,37
Tu habites où ?,11
Tu lis déjà ? tu lis quoi ?,9
Tu m'aimes ou tu m'aimes pas ?,42
"Tu m'aimes, dis ?",2
Tu seras funambule comme papa !,13
Tu seras ma princesse,30
Tu t'appelles qui ?,31
Tu te crois le lion ?,1
Tu verras quand tu seras grand,11
Tu voyages comment ?,44
Tunnel (le),50
Tyranno petite sœur,5
Ulysse aux mille ruses,11
Un ami rien qu'à moi,17
Un ami très cool,42
Un amour de poule,20
"Un arbre, une histoire",17
Un beau livre,50
Un bébé ? Quel cadeau !,44
Un bébé ? quelle drôle d'idée,47
"Un bébé, un livre, une voix",14
Un bisou pour…,50
Un boeuf de Chine,14
Un bon fermier,44
Un bon petit loup,42
Un bon tour de Renart,11
Un câlin,26
Un chat dans la nuit,28
Un chat est un chat,22
Un cœur qui bat,20
Un conte peut en cacher un autre,10
Un éléphant au paradis,37
Un éléphant et autres animaux de compagnie,36
Un éléphant qui…,5
Un éléphant sur une balançoire,9
Un et sept,8
Un figuier venu d'ailleurs,27
Un flocon d'amour,16
Un fruit rouge,8
Un gâteau au goûter,25
"Un gorille, un livre à compter",28
Un goûter au Mont Fuji,3
Un grand cerf,40
Un grand jour de rien,4
Un homme sans manteau,42
Un jardin sur le bout de la langue,22
Un jour mon prince viendra,43
Un jour un loup,34
"Un jour, deux ours",50
"Un jour, je serai une grande sorcière",37
Un lion à Paris,26
Un livre,32
"Un livre, et plus encore...",49
Un loup au Paradis,50
Un loup génial,35
Un monde à tomber par terre,26
Un monde de cochons,32
Un monde en couleurs,19
Un ours dans la bergerie,44
"Un ours, des ours",49
Un papa à domicile,41
Un papa sur mesure,45
Un petit bois mystérieux,20
Un petit bouquet de poèmes,28
Un petit bouquet de poèmes,21
Un petit frère pour Nina,30
Un peu perdu,41
Un poème pour vivre,13
Un poisson d'Avril,50
Un poisson est un poisson,24
Un poulailler dans les étoiles,28
Un pull pour te protéger,37
Un rêve sans faim,26
Un secret tout rond,24
Un sommeil agité,43
Un tableau trop bavard,31
Un tour de cochons,25
Un train passe,20
Un truc sur un machin,40
Un vrai livre,32
"Un, deux, pois.",39
"Un, deux, trois… la grenouille c'est moi",34
Une affreuse rage de dents,50
Une autre histoire,9
Une aventure de Violette Mirgue,16
Une baignoire bien remplie,10
Une baleine dans mon jardin,45
"Une baleine, deux b., trois b., six cachalots",48
Une belle journée,20
Une chanson d'ours,20
Une enfance au pays des livres,42
Une et l'autre (l'),27
Une farce,5
"Une feuille, un arbre",28
Une fois encore !,15
Une histoire à grosse voix,7
Une histoire à quatre voix,24
Une histoire de caméléon,44
Une histoire de vampire,27
Une histoire grande comme la main,33
"Une histoire pas terrible, terrible",25
"Une histoire sombre, très sombre",5
Une journée avec Mireille,27
Une journée chez bébé,2
Une maison à hanter,17
Une noce chez les lapins,14
Une nuit où je me sentais seule,16
"Une nuit, un chat",19
Une petite oie pas si bête,15
Une pluie de poésie,29
Une poule sur un mur,33
Une princesse au palais,40
Une soupe au caillou,8
Une souris verte,36
Une souris verte dans l'herbe,29
Une super histoire de cow-boy,30
Une touche de couleurs,41
Une vache dans ma chambre,32
Une vie merveilleuse,39
Univers fascinant du Dominatus (l'),25
V comme Van Gogh,50
Vacances de Calamity Mamie (les),1
Vache orange (la),49
Vache qui Rit tire la langue… (la),50
Vache qui voulait éteindre la lune (la),5
Vaches de Noël (les),25
Vague (la),5
Valise (la),7
Vallée des merveilles (la),19
Vampire du C.D.I. (le),28
Van Gogh,39
Va-t'en guerre,40
"Va-t'en, grand monstre vert !",36
Vava Inouva,8
Vélo de Jo (le),10
Vélo rose (le),3
Vengeance de Cornebidouille (la),47
Vengeance de Germaine (la),41
Venture d'Isée (la),45
Verdurette cherche un abri,9
Vert secret,29
Vert tamanoir,8
Vèzmô La sorcière,25
Vide-grenier,47
Vie des cailloux (La),48
Vie des gens (la),5
Vie ne me fait pas peur (la),37
Vie qui déraille (la),45
Vie rêvée (la),27
Vie sexuelle des libellules (la),46
"Viens, on va chercher un poème",47
"Viens, on va chercher un poème",40
Vilain dessin,30
Vilain petit canard (le),3
Village aux mille roses (le),5
Ville abandonnée (la),32
Ville aux cent poèmes (la),9
Vingt poèmes au nez pointu,4
Violette dans le noir,24
Visite de petite mort (la),38
Vitamine P (la),15
"Vite, vite, chère Marie !",15
Vivement jeudi !,50
"Vogue, vogue mon bateau",46
Voilà le loup !,43
Voilà voilà,26
Voisin lit un livre (le),2
Voix d'or de l'Afrique (la),22
Voleur invisible (le),30
Voleuse !,4
Voyage à Poubelle-Plage,28
Voyage d'Anoki (le),30
Voyage d'Aquilon (le),41
Voyage de Couci-Couça (le),44
Voyage de l'âne (le),31
Voyage de l'ours Pompon (le),23
Voyage d'Oregon (le),17
Voyage du lièvre et du blaireau (le),32
Voyage en Amnésie,47
Voyage sur un nuage,26
Voyages merveilleux de Lilou la fée (les),9
Voyelles,42
Vues d'ici,13
Wahid,1
Where's Spot ?,50
Wizzil,16
Xavier-Laurent Petit,27
Y'a une pie dans l'poirier,27
Yakouba,34
Yasuke,25
Youpi ! Poésie !!,26
Yoyo. J'ai perdu mon doudou,41
Yoyo. Je m'appelle Yoyo,33
Yuki et les mille porteurs,38
Yuni et Amélie,3
"Yvain, le Chevalier au Lion",50
Zagazou,9
Zanimaux zétonnants (les),19
Ze vais te manzer,50
Zékéyé est tout petit,38
Zékéyé et le serpent python,39
"Zélig, grand explorateur",15
Zéro pour Zorro,18
Zigomar n'aime pas les légumes,38
Zoo,32
Zoo des couleurs (le),11
Zoo poétique (le),5
Zou,8
Zou n'a pas peur,49
Zutécrotte et autres monstres... (le),17
